time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-08 00:00:00+00:00,6,6,38,7
2026-08-09 00:00:00+00:00,11,11,32,9
2026-08-10 00:00:00+00:00,9,9,42,12
2026-08-11 00:00:00+00:00,17,10,34,12
2026-08-12 00:00:00+00:00,32,15,29,15
2026-08-13 00:00:00+00:00,21,15,16,11
2026-08-14 00:00:00+00:00,9,9,51,14
2026-08-15 00:00:00+00:00,18,5,40,15
2026-08-16 00:00:00+00:00,14,7,52,15
2026-08-17 00:00:00+00:00,15,8,36,18
2026-08-18 00:00:00+00:00,1521,7,19,13
2026-08-19 00:00:00+00:00,6,6,52,20
2026-08-20 00:00:00+00:00,34,14,26,16
2026-08-21 00:00:00+00:00,32,16,42,10
