url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,175,104
/DesirePathGames/Slay-The-Robot/wiki,35,25
/DesirePathGames/Slay-The-Robot/wiki/Animations,13,11
/DesirePathGames/Slay-The-Robot/wiki/Cards,11,11
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,11,9
/DesirePathGames/Slay-The-Robot/forks,11,1
/DesirePathGames/Slay-The-Robot/releases/tag/major,10,9
/DesirePathGames/Slay-The-Robot/tree/main,8,4
/DesirePathGames/Slay-The-Robot/tree/main/scripts,8,4
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,7,6
