time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-08 00:00:00+00:00,17,11,19,11
2026-09-09 00:00:00+00:00,5,5,51,17
2026-09-10 00:00:00+00:00,23,12,32,13
2026-09-11 00:00:00+00:00,83,25,32,15
2026-09-12 00:00:00+00:00,19,11,61,15
2026-09-13 00:00:00+00:00,4,4,31,16
2026-09-14 00:00:00+00:00,9,9,26,10
2026-09-15 00:00:00+00:00,8,7,49,14
2026-09-16 00:00:00+00:00,7,7,30,14
2026-09-17 00:00:00+00:00,23,13,43,25
2026-09-18 00:00:00+00:00,8,5,14,11
2026-09-19 00:00:00+00:00,39,22,35,20
2026-09-20 00:00:00+00:00,25,13,21,16
2026-09-21 00:00:00+00:00,29,13,22,14
